timestamp,event_type,risk_score,details
2026-08-29T03:58:20,DISTRACTION,45,"{""ear"": 0.38, ""mar"": 0.017, ""head_direction"": ""LOOKING UP"", ""pitch"": 174.0, ""yaw"": -1.7, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:58:20,NO_SEATBELT,45,"{""ear"": 0.38, ""mar"": 0.017, ""head_direction"": ""LOOKING UP"", ""pitch"": 174.0, ""yaw"": -1.7, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:58:25,DISTRACTION,45,"{""ear"": 0.378, ""mar"": 0.017, ""head_direction"": ""LOOKING UP"", ""pitch"": 176.1, ""yaw"": -6.3, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:58:25,NO_SEATBELT,45,"{""ear"": 0.378, ""mar"": 0.017, ""head_direction"": ""LOOKING UP"", ""pitch"": 176.1, ""yaw"": -6.3, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:58:30,DISTRACTION,45,"{""ear"": 0.386, ""mar"": 0.019, ""head_direction"": ""LOOKING UP"", ""pitch"": 178.8, ""yaw"": -12.0, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:58:32,NO_SEATBELT,45,"{""ear"": 0.392, ""mar"": 0.017, ""head_direction"": ""LOOKING UP"", ""pitch"": 178.9, ""yaw"": -9.9, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:58:35,DISTRACTION,45,"{""ear"": 0.411, ""mar"": 0.007, ""head_direction"": ""LOOKING UP"", ""pitch"": 179.5, ""yaw"": -11.7, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:58:37,NO_SEATBELT,45,"{""ear"": 0.403, ""mar"": 0.014, ""head_direction"": ""LOOKING UP"", ""pitch"": 177.2, ""yaw"": -11.5, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:58:40,DISTRACTION,45,"{""ear"": 0.395, ""mar"": 0.026, ""head_direction"": ""LOOKING UP"", ""pitch"": 176.1, ""yaw"": -3.1, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:58:42,NO_SEATBELT,45,"{""ear"": 0.393, ""mar"": 0.01, ""head_direction"": ""LOOKING UP"", ""pitch"": 174.0, ""yaw"": -11.2, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:58:48,DISTRACTION,45,"{""ear"": 0.429, ""mar"": 0.142, ""head_direction"": ""LOOKING UP"", ""pitch"": 173.1, ""yaw"": 11.4, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:58:51,NO_SEATBELT,45,"{""ear"": 0.284, ""mar"": 0.289, ""head_direction"": ""LOOKING RIGHT"", ""pitch"": 169.8, ""yaw"": 57.4, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:58:53,DISTRACTION,45,"{""ear"": 0.453, ""mar"": 0.007, ""head_direction"": ""LOOKING RIGHT"", ""pitch"": 178.5, ""yaw"": 17.2, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:58:56,NO_SEATBELT,45,"{""ear"": 0.388, ""mar"": 0.011, ""head_direction"": ""LOOKING LEFT"", ""pitch"": 176.0, ""yaw"": -22.2, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:58:58,DISTRACTION,45,"{""ear"": 0.378, ""mar"": 0.02, ""head_direction"": ""LOOKING LEFT"", ""pitch"": 176.3, ""yaw"": -19.5, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:59:03,DISTRACTION,25,"{""ear"": 0.394, ""mar"": 0.019, ""head_direction"": ""LOOKING UP"", ""pitch"": 170.8, ""yaw"": -1.6, ""phone"": false, ""seatbelt"": true}"
2026-08-29T03:59:06,NO_SEATBELT,45,"{""ear"": 0.423, ""mar"": 0.003, ""head_direction"": ""LOOKING UP"", ""pitch"": 176.3, ""yaw"": 11.0, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:59:08,DISTRACTION,45,"{""ear"": 0.418, ""mar"": 0.006, ""head_direction"": ""LOOKING UP"", ""pitch"": 173.8, ""yaw"": 8.6, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:59:13,DISTRACTION,45,"{""ear"": 0.428, ""mar"": 0.027, ""head_direction"": ""LOOKING LEFT"", ""pitch"": 173.3, ""yaw"": -15.1, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:59:13,NO_SEATBELT,45,"{""ear"": 0.349, ""mar"": 0.057, ""head_direction"": ""LOOKING UP"", ""pitch"": 172.9, ""yaw"": 0.8, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:59:19,DISTRACTION,45,"{""ear"": 0.201, ""mar"": 0.009, ""head_direction"": ""LOOKING DOWN"", ""pitch"": -179.8, ""yaw"": -9.5, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:59:19,NO_SEATBELT,45,"{""ear"": 0.201, ""mar"": 0.009, ""head_direction"": ""LOOKING DOWN"", ""pitch"": -179.8, ""yaw"": -9.5, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:59:24,DISTRACTION,45,"{""ear"": 0.466, ""mar"": 0.017, ""head_direction"": ""LOOKING LEFT"", ""pitch"": 175.1, ""yaw"": -19.2, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:59:24,NO_SEATBELT,45,"{""ear"": 0.466, ""mar"": 0.017, ""head_direction"": ""LOOKING LEFT"", ""pitch"": 175.1, ""yaw"": -19.2, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:59:29,DISTRACTION,45,"{""ear"": 0.381, ""mar"": 0.022, ""head_direction"": ""LOOKING UP"", ""pitch"": 174.2, ""yaw"": -10.7, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:59:29,NO_SEATBELT,45,"{""ear"": 0.381, ""mar"": 0.022, ""head_direction"": ""LOOKING UP"", ""pitch"": 174.2, ""yaw"": -10.7, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:59:35,DISTRACTION,45,"{""ear"": 0.217, ""mar"": 0.029, ""head_direction"": ""LOOKING UP"", ""pitch"": 176.4, ""yaw"": -14.6, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:59:35,NO_SEATBELT,45,"{""ear"": 0.217, ""mar"": 0.029, ""head_direction"": ""LOOKING UP"", ""pitch"": 176.4, ""yaw"": -14.6, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:59:43,DISTRACTION,25,"{""ear"": 0.331, ""mar"": 0.041, ""head_direction"": ""LOOKING RIGHT"", ""pitch"": 178.1, ""yaw"": 18.2, ""phone"": false, ""seatbelt"": true}"
2026-08-29T03:59:48,DISTRACTION,45,"{""ear"": 0.435, ""mar"": 0.015, ""head_direction"": ""LOOKING LEFT"", ""pitch"": 176.2, ""yaw"": -24.2, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:59:48,NO_SEATBELT,45,"{""ear"": 0.435, ""mar"": 0.015, ""head_direction"": ""LOOKING LEFT"", ""pitch"": 176.2, ""yaw"": -24.2, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:59:53,DISTRACTION,45,"{""ear"": 0.395, ""mar"": 0.011, ""head_direction"": ""LOOKING LEFT"", ""pitch"": 174.7, ""yaw"": -17.1, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:59:53,NO_SEATBELT,45,"{""ear"": 0.395, ""mar"": 0.011, ""head_direction"": ""LOOKING LEFT"", ""pitch"": 174.7, ""yaw"": -17.1, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:59:59,DISTRACTION,25,"{""ear"": 0.392, ""mar"": 0.04, ""head_direction"": ""LOOKING UP"", ""pitch"": 178.0, ""yaw"": 9.5, ""phone"": false, ""seatbelt"": true}"
2026-08-29T04:00:04,DISTRACTION,45,"{""ear"": 0.443, ""mar"": 0.039, ""head_direction"": ""LOOKING UP"", ""pitch"": 178.3, ""yaw"": -0.4, ""phone"": false, ""seatbelt"": false}"
2026-08-29T04:00:09,DISTRACTION,45,"{""ear"": 0.459, ""mar"": 0.009, ""head_direction"": ""LOOKING UP"", ""pitch"": 171.3, ""yaw"": 6.5, ""phone"": false, ""seatbelt"": false}"
2026-08-29T04:00:10,NO_SEATBELT,45,"{""ear"": 0.402, ""mar"": 0.007, ""head_direction"": ""LOOKING UP"", ""pitch"": 173.8, ""yaw"": 7.6, ""phone"": false, ""seatbelt"": false}"
2026-08-29T04:00:14,DISTRACTION,25,"{""ear"": 0.292, ""mar"": 0.002, ""head_direction"": ""LOOKING UP"", ""pitch"": 169.4, ""yaw"": 9.9, ""phone"": false, ""seatbelt"": true}"
